set_type,model,epoch,lookback,error,output
2,1,500,60,7.4210,close,bert
2,1,500,30,48.4872,close,bert
1,1,500,30,47.5311,close,bert
1,1,500,60,12.0926,close,bert
1,1,100,60,6.5734,close,bert
1,1,100,14,3.1441,close,bert
2,1,100,14,13.7337,close,bert
1,1,100,14,3.2101,close,bert
1,1,100,60,16.0732,close,bert
3,1,100,60,28.0678,close,bert
3,1,100,30,14.0271,close,bert
3,1,100,14,55.2465,close,bert
3,2,100,14,163.8850,close,bert
3,1,100,30,33.7601,close,bert
2,1,100,30,29.0657,close,bert
2,1,100,14,53.3504,close,bert
2,1,100,60,6.8812,close,bert
3,1,100,60,56.9292,close,bert
2,1,100,60,17.6238,close,bert
2,1,100,30,24.2741,close,nltk
2,1,100,60,21.4865,close,nltk
2,1,100,60,7.2550,close,bert2,1,1,60,223.7001,close,bert
2,1,100,60,6.8285,close,bert
1,1,100,14,14.2110,close,bert
2,1,100,60,3.1747,close,nltk
2,1,100,60,5.8112,close,nltk
2,1,100,60,6.9453,close,bert
3,1,100,30,25.7275,close,bert
3,1,100,14,43.2086,close,bert
3,1,100,60,34.7295,close,bert
3,1,100,30,15.5902,close,bert
2,1,100,60,13.9981,close,nltk
3,1,100,30,58.4828,close,nltk
1,1,100,30,21.6069,close,nltk
3,1,100,30,42.3754,close,nltk
3,1,100,30,27.3523,close,nltk
2,1,100,60,3.3477,close,nltk
1,1,100,14,21.4407,close,nltk
1,1,100,14,5.3793,close,nltk
1,1,1,14,2.5693,close,nltk
1,1,1,14,27.3226,close,nltk
1,1,1,14,5.6570,close,nltk
1,1,1,14,2.3208,close,nltk
1,1,1,14,5.9419,close,nltk
2,1,1,30,3.0072,close,bert
2,1,1,30,5.2588,close,bert
2,1,1,14,2.4711,close,bert
2,1,1,14,3.4262,close,bert
2,1,1,14,2.4650,close,bert
2,1,100,14,0.5696,close,bert
2,1,100,14,0.5014,close,bert
2,1,100,14,0.9147,close,bert
2,1,100,14,1.0076,close,bert
2,1,100,14,0.9554,close,bert
2,1,100,30,1.2225,close,bert
2,1,100,30,0.8060,close,bert
2,1,100,30,1.0621,close,bert
2,1,100,30,1.1590,close,bert
2,1,100,30,0.9487,close,bert
2,1,100,60,0.6830,close,bert
2,1,100,60,0.6116,close,bert
2,1,100,60,1.5144,close,bert
2,1,100,60,0.5680,close,bert
2,1,100,60,1.9464,close,bert
2,1,100,14,0.9811,close,bert
2,1,100,14,0.6985,close,bert
2,1,100,14,3.7885,close,bert
2,1,100,14,1.8899,close,bert
2,1,100,14,1.2774,close,bert
2,1,100,30,1.2124,close,bert
2,1,100,30,1.5629,close,bert
2,1,100,30,0.7470,close,bert
2,1,100,30,0.5385,close,bert
2,1,100,30,0.5908,close,bert
2,1,100,60,0.7893,close,bert
2,1,100,60,0.7399,close,bert
2,1,100,60,0.9276,close,bert
2,1,100,60,1.8018,close,bert
2,1,100,60,1.0893,close,bert
2,1,100,30,0.9201,close,bert
2,1,100,30,0.8810,close,bert
2,1,100,30,2.3668,close,bert
2,1,100,30,0.7318,close,bert
2,1,100,30,1.0203,close,bert
